localadmin_id|localadmin_name|locality_id|locality_name|lat|lon
404486387|Washington|101719943|Ackermanville|40.835049|-75.222668
404486399|East Pennsboro|101719077|Enola|40.287406|-76.934823
404486399|East Pennsboro|101719099|West Fairview|40.277766|-76.919604
404486423|North Middleton|101719085|Schlusser|40.243172|-77.178526
404486449|Haverford|101719805|Haverford College|40.008148|-75.306436
404486453|Lower Chichester|101720047|Linwood|39.82437|-75.424379
404486457|Marple|101720037|Broomall|39.969466|-75.352926
404486465|Green|101718957|Commodore|40.715404|-78.938938
404486465|Green|101718959|Dicksonville|40.7153|-79.010511
404486475|Pine|101718961|Heilwood|40.632186|-78.893055
404486489|West Wheatfield|101718971|Robinson|40.404865|-79.138367
404486491|White|101718955|Chevy Chase Heights|40.640371|-79.14562
404486493|Young|101718965|Jacksonville|40.565215|-79.295237
404486501|Mount Carmel|101719285|Strong|40.797482|-76.440068
404486501|Mount Carmel|101719283|Atlas|40.797388|-76.428735
404486503|Point|101719299|Kapp Heights|40.899488|-76.80891
404486507|Ralpho|101719301|Elysburg|40.86799|-76.54916
404486531|West Chillisquaque|101719281|Montandon|40.965178|-76.853125
404486537|Shippensburg|101719103|Shippensburg University|40.061736|-77.522785
404486539|Silver Spring|101719081|New Kingstown|40.231058|-77.072721
404486545|South Middleton|101719075|Boiling Springs|40.15922|-77.139082
404486547|Upper Allen|101719101|Messiah College|40.157592|-76.984037
404486553|West Pennsboro|101719083|Plainfield|40.201172|-77.283278
404486561|Middletown|101720045|Lima|39.91945|-75.441533
404486573|Ridley|101720041|Folsom|39.892381|-75.328665
404486573|Ridley|101720051|Woodlyn|39.877373|-75.3445
404486627|Snyder|101719923|Crenshaw|41.248746|-78.754268
404486637|West Whiteland|101720391|Exton|40.03068|-75.630334
404486639|Willistown|101720361|Paoli|40.041989|-75.491258
404486653|Farmington|101719617|Leeper|41.370455|-79.305587
404486653|Farmington|101719619|Vowinckel|41.410799|-79.22864
404486653|Farmington|101719615|Tylersburg|41.383726|-79.320198
404486653|Farmington|101719621|Crown|41.391654|-79.263305
404486675|Fairview|101720199|Avonia|42.046936|-80.276492
404486675|Fairview|101720207|Fairview|42.028691|-80.257206
404486683|Harborcreek|101720203|Northwest Harborcreek|42.149465|-79.994603
404486683|Harborcreek|101720209|Penn State Erie (Behrend)|42.118443|-79.981789
404486695|Upper Chichester|101720035|Boothwyn|39.835656|-75.445332
404486697|Upper Darby|101720039|Drexel Hill|39.949501|-75.303881
404486705|Highland|101719005|James City|41.618021|-78.844293
404486711|Jones|101719007|Wilcox|41.572689|-78.686989
404486723|Fell|101720175|Simpson|41.594554|-75.481367
404486727|Jefferson|101720165|Mount Cobb|41.421532|-75.50044
404486737|Delaware|101719537|East Salem|40.608713|-77.23694
404486741|Fayette|101719533|McAlisterville|40.637977|-77.27301
404486751|Monroe|101718949|Richfield|40.686868|-77.114072
404486761|Paint|101719623|Marianne|41.244093|-79.431038
404486785|Boggs|101719597|West Decatur|40.928959|-78.282718
404486787|Bradford|101719601|Bigler|40.988814|-78.309672
404486849|South Abington|101720167|Chinchilla|41.484612|-75.665996
404486855|Tuscarora|101719531|East Rutherford|40.371131|-77.604695
404486857|Walker|101719535|Mexico|40.541652|-77.358261
404486859|Abington|101720173|Waverly|41.528619|-75.703174
404486873|Clifton|101719631|Big Bass Lake|41.252546|-75.479469
404486875|Covington|101720171|Eagle Lake|41.282609|-75.479471
404486879|Jenkins|101719325|Inkerman|41.296815|-75.816676
404486885|Kingston|101719329|Shavertown|41.318793|-75.940535
404486885|Kingston|101719331|Trucksville|41.310024|-75.928111
404486887|Lake|101719353|Pikes Creek|41.308618|-76.102899
404486891|Lehman|101719361|Silkworth|41.269812|-76.074843
404486905|Cooper|101719599|Kylertown|40.999253|-78.168055
404486905|Cooper|101719605|Grassflat|41.003097|-78.111306
404486923|Bullskin|101719775|Bear Rocks|40.126525|-79.465018
404486935|Franklin|101719769|Smock|39.999689|-79.777415
404486941|German|101719783|Ronco|39.868574|-79.921118
404486941|German|101719779|Edenborn|39.882023|-79.887547
404486949|Brecknock|101720425|Fivepointville|40.182766|-76.055305
404486949|Brecknock|101720479|Bowmansville|40.202979|-76.019753
404486951|Caernarvon|101720417|Churchtown|40.135006|-75.959324
404486953|Clay|101720465|Hopeland|40.233661|-76.261412
404486953|Clay|101720415|Clay|40.218612|-76.239948
404486957|Colerain|101720431|Kirkwood|39.85393|-76.079843
404486963|Conoy|101720413|Bainbridge|40.091536|-76.658109
404486963|Conoy|101720463|Falmouth|40.131558|-76.704643
404486977|Newport|101719355|Sheatown|41.19384|-76.018838
404486977|Newport|101719291|Glen Lyon|41.179544|-76.078278
404486977|Newport|101719357|Wanamie|41.176314|-76.038358
404486983|Pittston|101719327|Browntown|41.313773|-75.782667
404486985|Plains|101719321|Hilldale|41.286858|-75.835628
404486985|Plains|101719319|Hudson|41.277249|-75.831171
404486985|Plains|101719317|Plains|41.275798|-75.851861
